STATION,NAME,DATE,PRCP,TMAX,TMIN
UK000056225,"OXFORD, UK",18/04/1951,0,55,37
UK000056225,"OXFORD, UK",19/04/1951,0,58,43
UK000056225,"OXFORD, UK",20/04/1951,0,52,35
UK000056225,"OXFORD, UK",21/04/1951,0,56,34
UK000056225,"OXFORD, UK",22/04/1951,0,66,31
UK000056225,"OXFORD, UK",23/04/1951,0,73,32
UK000056225,"OXFORD, UK",24/04/1951,0,71,42
UK000056225,"OXFORD, UK",25/04/1951,0,58,43
UK000056225,"OXFORD, UK",26/04/1951,0,50,46
UK000056225,"OXFORD, UK",27/04/1951,0,48,37
UK000056225,"OXFORD, UK",28/04/1951,0.01,50,34
UK000056225,"OXFORD, UK",29/04/1951,0.03,48,34
UK000056225,"OXFORD, UK",30/04/1951,0.07,54,34
UK000056225,"OXFORD, UK",01/05/1951,0.13,56,36
UK000056225,"OXFORD, UK",02/05/1951,0.09,62,41
UK000056225,"OXFORD, UK",03/05/1951,0.02,51,37
UK000056225,"OXFORD, UK",04/05/1951,0.29,55,44
UK000056225,"OXFORD, UK",05/05/1951,0,55,39
UK000056225,"OXFORD, UK",06/05/1951,0,50,44
UK000056225,"OXFORD, UK",07/05/1951,0,47,43
UK000056225,"OXFORD, UK",08/05/1951,0.11,47,37
UK000056225,"OXFORD, UK",09/05/1951,0.04,55,40
UK000056225,"OXFORD, UK",10/05/1951,0,57,43
UK000056225,"OXFORD, UK",11/05/1951,0,64,38
UK000056225,"OXFORD, UK",12/05/1951,0,57,36
UK000056225,"OXFORD, UK",13/05/1951,0,53,46
UK000056225,"OXFORD, UK",14/05/1951,0,54,40
UK000056225,"OXFORD, UK",15/05/1951,0.17,51,44
UK000056225,"OXFORD, UK",16/05/1951,0,56,47
UK000056225,"OXFORD, UK",17/05/1951,0.01,61,39
UK000056225,"OXFORD, UK",18/05/1951,0.02,64,45
UK000056225,"OXFORD, UK",19/05/1951,0.07,62,47
UK000056225,"OXFORD, UK",20/05/1951,0.13,64,47
UK000056225,"OXFORD, UK",21/05/1951,0.23,59,45
UK000056225,"OXFORD, UK",22/05/1951,0.08,65,43
UK000056225,"OXFORD, UK",23/05/1951,0.28,71,50
UK000056225,"OXFORD, UK",24/05/1951,0,67,53
UK000056225,"OXFORD, UK",25/05/1951,0,64,52
UK000056225,"OXFORD, UK",26/05/1951,0.41,56,49
UK000056225,"OXFORD, UK",27/05/1951,0.01,62,47
UK000056225,"OXFORD, UK",28/05/1951,0.01,61,47
UK000056225,"OXFORD, UK",29/05/1951,0,59,49
UK000056225,"OXFORD, UK",30/05/1951,0,64,44
UK000056225,"OXFORD, UK",31/05/1951,0,68,41
UK000056225,"OXFORD, UK",01/06/1951,0,68,43
UK000056225,"OXFORD, UK",02/06/1951,0,71,43
UK000056225,"OXFORD, UK",03/06/1951,0,67,44
UK000056225,"OXFORD, UK",04/06/1951,0,71,45
UK000056225,"OXFORD, UK",05/06/1951,0,73,44
UK000056225,"OXFORD, UK",06/06/1951,0,62,46
UK000056225,"OXFORD, UK",07/06/1951,0,65,48
UK000056225,"OXFORD, UK",08/06/1951,0,63,41
UK000056225,"OXFORD, UK",09/06/1951,0.31,67,42
UK000056225,"OXFORD, UK",10/06/1951,0,71,49
UK000056225,"OXFORD, UK",11/06/1951,0.1,68,53
UK000056225,"OXFORD, UK",12/06/1951,0.28,66,58
UK000056225,"OXFORD, UK",13/06/1951,0,69,56
UK000056225,"OXFORD, UK",14/06/1951,0.04,68,58
UK000056225,"OXFORD, UK",15/06/1951,0,69,51
UK000056225,"OXFORD, UK",16/06/1951,0,67,47
UK000056225,"OXFORD, UK",17/06/1951,0,67,49
UK000056225,"OXFORD, UK",18/06/1951,0.03,65,47
UK000056225,"OXFORD, UK",19/06/1951,0.04,68,45
UK000056225,"OXFORD, UK",20/06/1951,0,74,49
UK000056225,"OXFORD, UK",21/06/1951,0.43,66,46
UK000056225,"OXFORD, UK",22/06/1951,0,66,56
UK000056225,"OXFORD, UK",23/06/1951,0.11,70,55
UK000056225,"OXFORD, UK",24/06/1951,0,67,53
UK000056225,"OXFORD, UK",25/06/1951,0.05,58,49
UK000056225,"OXFORD, UK",26/06/1951,0.01,65,46
UK000056225,"OXFORD, UK",27/06/1951,0.01,66,52
UK000056225,"OXFORD, UK",28/06/1951,0,69,53
UK000056225,"OXFORD, UK",29/06/1951,0,72,54
UK000056225,"OXFORD, UK",30/06/1951,0,80,46
UK000056225,"OXFORD, UK",01/07/1951,0,79,56
UK000056225,"OXFORD, UK",02/07/1951,0,75,53
UK000056225,"OXFORD, UK",03/07/1951,0.03,65,54
UK000056225,"OXFORD, UK",04/07/1951,0.02,68,57
UK000056225,"OXFORD, UK",05/07/1951,0.03,73,52
UK000056225,"OXFORD, UK",06/07/1951,0,73,52
UK000056225,"OXFORD, UK",07/07/1951,0,69,56
UK000056225,"OXFORD, UK",08/07/1951,0.01,69,57
UK000056225,"OXFORD, UK",09/07/1951,0.07,73,54
UK000056225,"OXFORD, UK",10/07/1951,0.01,70,57
UK000056225,"OXFORD, UK",11/07/1951,0.17,67,60
UK000056225,"OXFORD, UK",12/07/1951,0.03,66,54
UK000056225,"OXFORD, UK",13/07/1951,0,67,48
UK000056225,"OXFORD, UK",14/07/1951,0,70,46
UK000056225,"OXFORD, UK",15/07/1951,0,74,49
UK000056225,"OXFORD, UK",16/07/1951,0,81,48
UK000056225,"OXFORD, UK",17/07/1951,0,73,53
UK000056225,"OXFORD, UK",18/07/1951,0,82,55
UK000056225,"OXFORD, UK",19/07/1951,0,76,59
UK000056225,"OXFORD, UK",20/07/1951,0,80,56
UK000056225,"OXFORD, UK",21/07/1951,0,73,56
UK000056225,"OXFORD, UK",22/07/1951,0.86,59,54
UK000056225,"OXFORD, UK",23/07/1951,0,67,55
UK000056225,"OXFORD, UK",24/07/1951,0,69,50
UK000056225,"OXFORD, UK",25/07/1951,0,73,47
UK000056225,"OXFORD, UK",26/07/1951,0,71,54
UK000056225,"OXFORD, UK",27/07/1951,0,75,58
UK000056225,"OXFORD, UK",28/07/1951,0,71,56
UK000056225,"OXFORD, UK",29/07/1951,0,77,52
UK000056225,"OXFORD, UK",30/07/1951,0.11,73,49
UK000056225,"OXFORD, UK",31/07/1951,0,75,62
UK000056225,"OXFORD, UK",01/08/1951,0,75,55
UK000056225,"OXFORD, UK",02/08/1951,0,76,52
UK000056225,"OXFORD, UK",03/08/1951,0.03,75,58
UK000056225,"OXFORD, UK",04/08/1951,0,75,60
UK000056225,"OXFORD, UK",05/08/1951,0.05,69,54
UK000056225,"OXFORD, UK",06/08/1951,0.53,69,59
UK000056225,"OXFORD, UK",07/08/1951,0.01,69,57
UK000056225,"OXFORD, UK",08/08/1951,0,69,52
UK000056225,"OXFORD, UK",09/08/1951,0.05,68,52
UK000056225,"OXFORD, UK",10/08/1951,0.01,63,54
UK000056225,"OXFORD, UK",11/08/1951,0.79,64,51
UK000056225,"OXFORD, UK",12/08/1951,0.02,64,54
UK000056225,"OXFORD, UK",13/08/1951,0,64,50
UK000056225,"OXFORD, UK",14/08/1951,0,66,52
UK000056225,"OXFORD, UK",15/08/1951,0,70,48
UK000056225,"OXFORD, UK",16/08/1951,0.08,69,43
UK000056225,"OXFORD, UK",17/08/1951,0.07,69,53
UK000056225,"OXFORD, UK",18/08/1951,0.38,70,50
UK000056225,"OXFORD, UK",19/08/1951,0.01,69,58
UK000056225,"OXFORD, UK",20/08/1951,0,67,51
UK000056225,"OXFORD, UK",21/08/1951,0.03,72,50
UK000056225,"OXFORD, UK",22/08/1951,0,66,58
UK000056225,"OXFORD, UK",23/08/1951,0.01,63,47
UK000056225,"OXFORD, UK",24/08/1951,0.07,62,54
UK000056225,"OXFORD, UK",25/08/1951,0.32,65,51
UK000056225,"OXFORD, UK",26/08/1951,0.16,65,53
UK000056225,"OXFORD, UK",27/08/1951,0.11,68,50
UK000056225,"OXFORD, UK",28/08/1951,0.08,69,52
UK000056225,"OXFORD, UK",29/08/1951,0.18,61,59
UK000056225,"OXFORD, UK",30/08/1951,0.67,64,58
UK000056225,"OXFORD, UK",31/08/1951,0.01,64,50
UK000056225,"OXFORD, UK",01/09/1951,0.04,65,48
UK000056225,"OXFORD, UK",02/09/1951,0,68,47
UK000056225,"OXFORD, UK",03/09/1951,0.27,75,45
UK000056225,"OXFORD, UK",04/09/1951,0,68,56
UK000056225,"OXFORD, UK",05/09/1951,0.01,69,63
UK000056225,"OXFORD, UK",06/09/1951,3.34,66,61
UK000056225,"OXFORD, UK",07/09/1951,0,67,58
UK000056225,"OXFORD, UK",08/09/1951,0,62,56
UK000056225,"OXFORD, UK",09/09/1951,0,69,49
UK000056225,"OXFORD, UK",10/09/1951,0,73,55
UK000056225,"OXFORD, UK",11/09/1951,0.01,73,58
UK000056225,"OXFORD, UK",12/09/1951,0,69,60
UK000056225,"OXFORD, UK",13/09/1951,0,68,60
UK000056225,"OXFORD, UK",14/09/1951,0.31,67,52
UK000056225,"OXFORD, UK",15/09/1951,0.04,62,57
UK000056225,"OXFORD, UK",16/09/1951,0.1,62,48
UK000056225,"OXFORD, UK",17/09/1951,0,61,45
UK000056225,"OXFORD, UK",18/09/1951,0,62,46
UK000056225,"OXFORD, UK",19/09/1951,0,61,50
UK000056225,"OXFORD, UK",20/09/1951,0,63,45
UK000056225,"OXFORD, UK",21/09/1951,0,65,47
UK000056225,"OXFORD, UK",22/09/1951,0.12,68,41
UK000056225,"OXFORD, UK",23/09/1951,0.02,65,53
UK000056225,"OXFORD, UK",24/09/1951,0,63,50
UK000056225,"OXFORD, UK",25/09/1951,0.14,64,59
UK000056225,"OXFORD, UK",26/09/1951,0.01,64,48
UK000056225,"OXFORD, UK",27/09/1951,0.51,65,54
UK000056225,"OXFORD, UK",28/09/1951,0,66,48
UK000056225,"OXFORD, UK",29/09/1951,0,63,41
UK000056225,"OXFORD, UK",30/09/1951,0,60,40
UK000056225,"OXFORD, UK",01/10/1951,0,59,50
UK000056225,"OXFORD, UK",02/10/1951,0,64,55
UK000056225,"OXFORD, UK",03/10/1951,0,54,54
UK000056225,"OXFORD, UK",04/10/1951,0.01,55,42
UK000056225,"OXFORD, UK",05/10/1951,0,63,42
UK000056225,"OXFORD, UK",06/10/1951,0.01,61,46
UK000056225,"OXFORD, UK",07/10/1951,0,63,42
UK000056225,"OXFORD, UK",08/10/1951,0,62,40
UK000056225,"OXFORD, UK",09/10/1951,0,62,34
UK000056225,"OXFORD, UK",10/10/1951,0,61,33
UK000056225,"OXFORD, UK",11/10/1951,0,57,34
UK000056225,"OXFORD, UK",12/10/1951,0.09,60,36
UK000056225,"OXFORD, UK",13/10/1951,0.02,63,43
UK000056225,"OXFORD, UK",14/10/1951,0.01,56,51
UK000056225,"OXFORD, UK",15/10/1951,0.01,55,46
UK000056225,"OXFORD, UK",16/10/1951,0,60,40
UK000056225,"OXFORD, UK",17/10/1951,0,54,44
UK000056225,"OXFORD, UK",18/10/1951,0,57,40
UK000056225,"OXFORD, UK",19/10/1951,0,57,40
UK000056225,"OXFORD, UK",20/10/1951,0.05,54,44
UK000056225,"OXFORD, UK",21/10/1951,0.12,47,43
UK000056225,"OXFORD, UK",22/10/1951,0,47,34
UK000056225,"OXFORD, UK",23/10/1951,0,52,27
UK000056225,"OXFORD, UK",24/10/1951,0,53,27
UK000056225,"OXFORD, UK",25/10/1951,0,52,27
UK000056225,"OXFORD, UK",26/10/1951,0,56,29
UK000056225,"OXFORD, UK",27/10/1951,0.01,60,43
UK000056225,"OXFORD, UK",28/10/1951,0,55,47
UK000056225,"OXFORD, UK",29/10/1951,0.38,54,49
UK000056225,"OXFORD, UK",30/10/1951,0.09,49,48
UK000056225,"OXFORD, UK",31/10/1951,0.09,56,42
UK000056225,"OXFORD, UK",01/11/1951,0.08,54,42
UK000056225,"OXFORD, UK",02/11/1951,0.01,51,43
UK000056225,"OXFORD, UK",03/11/1951,0.06,52,34
UK000056225,"OXFORD, UK",04/11/1951,0.5,55,39
UK000056225,"OXFORD, UK",05/11/1951,1.21,58,49
UK000056225,"OXFORD, UK",06/11/1951,0.13,59,46
UK000056225,"OXFORD, UK",07/11/1951,0.13,53,50
UK000056225,"OXFORD, UK",08/11/1951,0.43,55,49
UK000056225,"OXFORD, UK",09/11/1951,0.24,54,47
UK000056225,"OXFORD, UK",10/11/1951,0.31,55,46
UK000056225,"OXFORD, UK",11/11/1951,0.06,52,46
UK000056225,"OXFORD, UK",12/11/1951,0.17,51,48
UK000056225,"OXFORD, UK",13/11/1951,0,55,47
UK000056225,"OXFORD, UK",14/11/1951,0.05,58,40
UK000056225,"OXFORD, UK",15/11/1951,0.01,56,42
UK000056225,"OXFORD, UK",16/11/1951,0.03,54,46
UK000056225,"OXFORD, UK",17/11/1951,0.53,51,50
UK000056225,"OXFORD, UK",18/11/1951,0.33,53,48
UK000056225,"OXFORD, UK",19/11/1951,0.01,53,45
UK000056225,"OXFORD, UK",20/11/1951,0.29,50,45
UK000056225,"OXFORD, UK",21/11/1951,0.03,49,44
UK000056225,"OXFORD, UK",22/11/1951,0.17,56,41
UK000056225,"OXFORD, UK",23/11/1951,0.08,58,41
UK000056225,"OXFORD, UK",24/11/1951,0.29,48,42
UK000056225,"OXFORD, UK",25/11/1951,0,45,42
UK000056225,"OXFORD, UK",26/11/1951,0,49,31
UK000056225,"OXFORD, UK",27/11/1951,0,49,33
UK000056225,"OXFORD, UK",28/11/1951,0.03,52,40
UK000056225,"OXFORD, UK",29/11/1951,0.01,51,36
UK000056225,"OXFORD, UK",30/11/1951,0,49,42
UK000056225,"OXFORD, UK",01/12/1951,0,47,43
UK000056225,"OXFORD, UK",02/12/1951,0,50,33
UK000056225,"OXFORD, UK",03/12/1951,0.1,52,32
UK000056225,"OXFORD, UK",04/12/1951,0,53,35
UK000056225,"OXFORD, UK",05/12/1951,0.14,46,49
UK000056225,"OXFORD, UK",06/12/1951,0,50,40
UK000056225,"OXFORD, UK",07/12/1951,0,53,31
UK000056225,"OXFORD, UK",08/12/1951,0.05,46,33
UK000056225,"OXFORD, UK",09/12/1951,0.05,42,41
UK000056225,"OXFORD, UK",10/12/1951,0,37,34
UK000056225,"OXFORD, UK",11/12/1951,0.01,40,24
UK000056225,"OXFORD, UK",12/12/1951,0,43,25
UK000056225,"OXFORD, UK",13/12/1951,0.01,51,21
UK000056225,"OXFORD, UK",14/12/1951,0,53,25
UK000056225,"OXFORD, UK",15/12/1951,0,53,43
UK000056225,"OXFORD, UK",16/12/1951,0,49,48
UK000056225,"OXFORD, UK",17/12/1951,0,53,47
UK000056225,"OXFORD, UK",18/12/1951,0.07,53,46
UK000056225,"OXFORD, UK",19/12/1951,0,53,49
UK000056225,"OXFORD, UK",20/12/1951,0.03,46,46
UK000056225,"OXFORD, UK",21/12/1951,0,47,38
UK000056225,"OXFORD, UK",22/12/1951,0,51,40
UK000056225,"OXFORD, UK",23/12/1951,0.17,54,40
UK000056225,"OXFORD, UK",24/12/1951,0.13,43,42
UK000056225,"OXFORD, UK",25/12/1951,0.06,47,39
UK000056225,"OXFORD, UK",26/12/1951,0.19,46,33
UK000056225,"OXFORD, UK",27/12/1951,0.02,44,36
UK000056225,"OXFORD, UK",28/12/1951,0.43,48,39
UK000056225,"OXFORD, UK",29/12/1951,0.03,53,36
UK000056225,"OXFORD, UK",30/12/1951,0,41,35
UK000056225,"OXFORD, UK",31/12/1951,0.07,48,37
UK000056225,"OXFORD, UK",01/01/1952,0.09,44,34
UK000056225,"OXFORD, UK",02/01/1952,0.33,41,35
UK000056225,"OXFORD, UK",03/01/1952,0,45,31
UK000056225,"OXFORD, UK",04/01/1952,0.18,47,31
UK000056225,"OXFORD, UK",05/01/1952,0,49,32
UK000056225,"OXFORD, UK",06/01/1952,0,51,39
UK000056225,"OXFORD, UK",07/01/1952,0.01,51,46
UK000056225,"OXFORD, UK",08/01/1952,0.09,44,45
UK000056225,"OXFORD, UK",09/01/1952,0.15,51,37
UK000056225,"OXFORD, UK",10/01/1952,0.08,43,35
UK000056225,"OXFORD, UK",11/01/1952,0,43,41
UK000056225,"OXFORD, UK",12/01/1952,0,46,34
UK000056225,"OXFORD, UK",13/01/1952,0.1,51,28
UK000056225,"OXFORD, UK",14/01/1952,0.01,52,31
UK000056225,"OXFORD, UK",15/01/1952,0.11,42,34
UK000056225,"OXFORD, UK",16/01/1952,0.14,40,36
UK000056225,"OXFORD, UK",17/01/1952,0.01,41,35
UK000056225,"OXFORD, UK",18/01/1952,0,41,34
UK000056225,"OXFORD, UK",19/01/1952,0,38,32
UK000056225,"OXFORD, UK",20/01/1952,0.02,37,27
UK000056225,"OXFORD, UK",21/01/1952,0,36,31
UK000056225,"OXFORD, UK",22/01/1952,0,38,32
UK000056225,"OXFORD, UK",23/01/1952,0,36,33
UK000056225,"OXFORD, UK",24/01/1952,0,36,33
UK000056225,"OXFORD, UK",25/01/1952,0.15,34,31
UK000056225,"OXFORD, UK",26/01/1952,0,33,28
UK000056225,"OXFORD, UK",27/01/1952,0,40,17
UK000056225,"OXFORD, UK",28/01/1952,0.09,43,20
UK000056225,"OXFORD, UK",29/01/1952,0,43,31
UK000056225,"OXFORD, UK",30/01/1952,0.24,42,29
UK000056225,"OXFORD, UK",31/01/1952,0.02,41,28
UK000056225,"OXFORD, UK",01/02/1952,0.03,44,34
UK000056225,"OXFORD, UK",02/02/1952,0,41,32
UK000056225,"OXFORD, UK",03/02/1952,0,41,31
UK000056225,"OXFORD, UK",04/02/1952,0,42,33
UK000056225,"OXFORD, UK",05/02/1952,0,47,26
UK000056225,"OXFORD, UK",06/02/1952,0.01,44,28
UK000056225,"OXFORD, UK",07/02/1952,0.05,43,34
UK000056225,"OXFORD, UK",08/02/1952,0.01,40,33
UK000056225,"OXFORD, UK",09/02/1952,0,45,31
UK000056225,"OXFORD, UK",10/02/1952,0.2,38,31
UK000056225,"OXFORD, UK",11/02/1952,0.09,41,34
UK000056225,"OXFORD, UK",12/02/1952,0.01,38,29
UK000056225,"OXFORD, UK",13/02/1952,0.03,43,30
UK000056225,"OXFORD, UK",14/02/1952,0,41,30
UK000056225,"OXFORD, UK",15/02/1952,0,39,34
UK000056225,"OXFORD, UK",16/02/1952,0.02,45,28
UK000056225,"OXFORD, UK",17/02/1952,0.05,44,32
UK000056225,"OXFORD, UK",18/02/1952,0.01,47,38
UK000056225,"OXFORD, UK",19/02/1952,0,51,39
UK000056225,"OXFORD, UK",20/02/1952,0,47,36
UK000056225,"OXFORD, UK",21/02/1952,0,44,37
UK000056225,"OXFORD, UK",22/02/1952,0,52,38
UK000056225,"OXFORD, UK",23/02/1952,0,49,38
UK000056225,"OXFORD, UK",24/02/1952,0,47,36
UK000056225,"OXFORD, UK",25/02/1952,0,44,30
UK000056225,"OXFORD, UK",26/02/1952,0,50,30
UK000056225,"OXFORD, UK",27/02/1952,0,44,29
UK000056225,"OXFORD, UK",28/02/1952,0,54,30
UK000056225,"OXFORD, UK",29/02/1952,0,54,32
UK000056225,"OXFORD, UK",01/03/1952,0,53,37
UK000056225,"OXFORD, UK",02/03/1952,0,56,40
UK000056225,"OXFORD, UK",03/03/1952,0.01,54,46
UK000056225,"OXFORD, UK",04/03/1952,0.4,53,45
UK000056225,"OXFORD, UK",05/03/1952,0.04,50,39
UK000056225,"OXFORD, UK",06/03/1952,0.34,52,41
UK000056225,"OXFORD, UK",07/03/1952,0.2,60,43
UK000056225,"OXFORD, UK",08/03/1952,0.33,49,48
UK000056225,"OXFORD, UK",09/03/1952,0.3,57,46
UK000056225,"OXFORD, UK",10/03/1952,0.01,56,40
UK000056225,"OXFORD, UK",11/03/1952,0,51,36
UK000056225,"OXFORD, UK",12/03/1952,0,41,37
UK000056225,"OXFORD, UK",13/03/1952,0,47,37
UK000056225,"OXFORD, UK",14/03/1952,0,50,36
